City,Operating Margin,Price per Unit,Product_Men's Athletic Footwear,Product_Men's Street Footwear,Product_Women's Apparel,Product_Women's Athletic Footwear,Product_Women's Street Footwear,Region_Northeast,Region_South,Region_Southeast,Region_West,Retailer ID,Retailer_Foot Locker,Retailer_Kohl's,Retailer_Sports Direct,Retailer_Walmart,Retailer_West Gear,Sales Method_Online,Sales Method_Outlet,State,inv_day,inv_month,inv_year,Units Sold
27.0,0.49,64.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,19.0,12.0,2021.0,112
27.0,0.45,20.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,21.0,10.0,2021.0,132
27.0,0.4,70.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,19.0,12.0,2021.0,700
27.0,0.39999999999999997,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,19.0,12.0,2021.0,132
27.0,0.42,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,11.0,2021.0,116
27.0,0.41,56.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,11.0,2021.0,105
27.0,0.45,18.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.0,1.0,2021.0,124
27.0,0.4,60.00000000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,19.0,12.0,2021.0,400
27.0,0.52,23.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,23.0,1.0,2021.0,101
27.0,0.38999999999999996,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,21.0,2.0,2021.0,83
27.0,0.45,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,11.0,2021.0,135
27.0,0.46,55.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,19.0,12.0,2021.0,238
27.0,0.51,57.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,19.0,12.0,2021.0,120
27.0,0.38,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.0,1.0,2021.0,124
27.0,0.5,51.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,20.0,11.0,2021.0,109
27.0,0.4,25.000000000000007,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,21.0,2.0,2021.0,625
27.0,0.4,15.000000000000007,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,23.0,1.0,2021.0,375
27.0,0.46,40.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,19.0,12.0,2021.0,124
27.0,0.46,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,20.0,11.0,2021.0,176
27.0,0.41,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.0,1.0,2021.0,91
27.0,0.39999999999999997,46.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,19.0,12.0,2021.0,155
27.0,0.4,30.000000000000004,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,21.0,10.0,2021.0,400
27.0,0.4,60.00000000000001,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,19.0,12.0,2021.0,450
27.0,0.5,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,20.0,11.0,2021.0,94
27.0,0.52,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,21.0,2.0,2021.0,169
27.0,0.44,18.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,21.0,2.0,2021.0,206
27.0,0.53,29.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,21.0,10.0,2021.0,104
27.0,0.43000000000000005,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,23.0,1.0,2021.0,74
27.0,0.5,15.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,21.0,2.0,2021.0,91
27.0,0.5,24.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,20.0,11.0,2021.0,143
27.0,0.45,55.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1197831.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,19.0,12.0,2021.0,170
