City,Operating Margin,Price per Unit,Product_Men's Athletic Footwear,Product_Men's Street Footwear,Product_Women's Apparel,Product_Women's Athletic Footwear,Product_Women's Street Footwear,Region_Northeast,Region_South,Region_Southeast,Region_West,Retailer ID,Retailer_Foot Locker,Retailer_Kohl's,Retailer_Sports Direct,Retailer_Walmart,Retailer_West Gear,Sales Method_Online,Sales Method_Outlet,State,inv_day,inv_month,inv_year,Units Sold
7.0,0.39999999999999997,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,11.0,2021.0,675
7.0,0.55,65.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,11.0,2021.0,625
7.0,0.39999999999999997,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,4.0,10.0,2021.0,575
1.0,0.35,45.000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1128299.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,13.0,1.0,2021.0,250
7.0,0.39999999999999997,45.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,4.0,10.0,2021.0,525
21.0,0.35,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1128299.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,9.0,12.0,2021.0,145
7.0,0.5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,11.0,2021.0,106
7.0,0.39999999999999997,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,11.0,2021.0,675
1.0,0.55,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1128299.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30.0,13.0,2.0,2021.0,112
21.0,0.25,80.00000000000001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1128299.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,9.0,12.0,2021.0,500
7.0,0.55,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,5.0,9.0,2021.0,136
21.0,0.3,40.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1128299.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,17.0,1.0,2021.0,425
1.0,0.39999999999999997,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1128299.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.0,13.0,1.0,2021.0,75
7.0,0.5800000000000001,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,11.0,5.0,9.0,2021.0,200
7.0,0.5499999999999999,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1197831.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,5.0,11.0,2021.0,182
