epoch,client,sample_size,mae,rmse,duration_s
1,train_20,240,39.169456284153,55.910782252439375,29.212581157684326
1,train_27,764,18.586893856721982,28.37544881373285,29.832661151885986
1,train_17,273,26.65084057971014,34.9439637598023,33.52155804634094
1,train_14,184,21.087174940898343,31.994783245426966,39.44136381149292
1,train_16,468,25.545190883190887,43.5631283587099,40.185099601745605
1,train_8,272,36.07907843137255,48.4315399994565,45.34952735900879
1,train_11,105,33.23617283950618,63.23244213107765,47.696112871170044
1,train_21,92,39.43260869565218,53.667207500200384,49.3867552280426
1,train_7,88,41.39772727272728,59.41577434410067,51.48148226737976
1,train_26,56,59.504000000000005,73.28988434065556,53.78708457946777
1,train_4,85,13.962727272727273,18.82303521075851,55.24854063987732
1,train_2,8,27.833333333333343,33.54912517488348,56.68826246261597
1,train_15,297,12.892614814814817,17.389579463154075,57.02682137489319
1,train_22,26,20.917142857142853,24.23183089598119,57.10809373855591
1,train_3,88,39.67717391304348,54.52863963292493,57.70095682144165
1,train_10,155,24.761538461538457,35.59865619762806,60.705570459365845
1,train_12,43,32.372727272727275,36.40131466157382,60.93630003929138
1,train_18,84,44.50666666666667,54.51164785970932,61.048484325408936
1,train_0,81,33.33761904761904,44.366720850741466,61.32261395454407
1,train_19,40,11.815999999999997,14.267131456603313,62.03752875328064
1,train_1,355,14.305074906367041,20.337924370412757,62.38503837585449
1,train_23,236,16.952255555555556,34.507606255078834,62.66149878501892
1,train_24,190,17.802083333333332,27.122134391642803,63.91969156265259
1,train_25,256,23.374487179487183,29.624413399652394,64.18296337127686
1,train_13,348,15.630032019704437,23.218742109223193,65.94999647140503
1,train_5,540,13.142040009887234,18.264077566179484,66.2553322315216
1,train_6,532,17.418878192505073,31.0742682830877,67.62247204780579
2,train_0,81,88.2893217893218,113.75072506723238,34.19212818145752
2,train_1,355,35.85126064010896,40.57852593480192,34.28493070602417
2,train_2,8,59.31212121212121,59.907565391898316,33.82447290420532
2,train_3,88,53.782674571805,79.22611349314474,34.688366174697876
2,train_4,85,39.7469696969697,45.045272460966736,34.67828583717346
2,train_5,540,33.81024275948517,39.48835547993351,34.55758786201477
2,train_6,532,59.179902760147115,100.45742495775042,34.47940683364868
2,train_7,88,46.17203856749311,68.94574728627354,33.651692390441895
2,train_8,272,90.67427584670233,140.46798085838842,34.63997530937195
2,train_10,155,44.120590520590525,57.09038528522756,34.656830072402954
2,train_11,105,42.7047138047138,58.8006003943906,34.30954885482788
2,train_12,43,47.45192837465564,50.21353312736168,35.59000062942505
2,train_13,348,55.43555878986912,80.43506665559688,33.94423580169678
2,train_14,184,47.38102836879432,66.85607546707341,32.916231632232666
2,train_15,297,40.20642626262625,45.473249388781184,33.98518681526184
2,train_16,468,51.84182373182372,86.08437869491158,35.62562823295593
2,train_17,273,83.09386253842776,120.47057822831229,37.74121332168579
2,train_18,84,40.99090909090909,62.46893590867056,34.75505757331848
2,train_19,40,136.42121212121214,194.6144125544689,34.98338603973389
2,train_20,240,87.43283656234478,135.55070838767602,34.13357663154602
2,train_21,92,65.59200263504611,88.4255931287886,34.21233415603638
2,train_22,26,26.335064935064953,32.41077662689437,34.206944942474365
2,train_23,236,35.2745707070707,45.00277817878919,34.04885935783386
2,train_24,190,42.505768623737374,58.58883483202913,35.612900733947754
2,train_25,256,47.77544055944056,62.660233014329584,41.01039958000183
2,train_26,56,107.32585858585858,169.46424589834308,35.57600498199463
2,train_27,764,45.32638420869955,69.26862337557367,36.479565382003784
